,balancer,classifier,accuracy,precision,recall,F1 score,ROC AUC Score
0,Unbalanced,Decision Tree,0.9954,0.7914,0.74,0.7649,0.869
1,Unbalanced,Random Forest,0.9979,1.0,0.79,0.8827,0.895
2,Unbalanced,XGboost,0.9988,0.9888,0.885,0.934,0.9424
3,Unbalanced,Lightgbm,0.9986,0.9831,0.875,0.9259,0.9374
4,ADASYN,Decision Tree,0.9948,0.6983,0.845,0.7647,0.9207
5,ADASYN,Random Forest,0.9981,0.9263,0.88,0.9026,0.9396
6,ADASYN,XGboost,0.9977,0.8468,0.94,0.891,0.9691
7,ADASYN,Lightgbm,0.997,0.8017,0.93,0.8611,0.9638
8,RandomOverSampler,Decision Tree,0.9969,0.8833,0.795,0.8368,0.897
9,RandomOverSampler,Random Forest,0.9984,1.0,0.84,0.913,0.92
10,RandomOverSampler,XGboost,0.999,0.9838,0.91,0.9455,0.9549
11,RandomOverSampler,Lightgbm,0.9987,0.9485,0.92,0.934,0.9597
12,SMOTE,Decision Tree,0.9943,0.6641,0.87,0.7532,0.9328
13,SMOTE,Random Forest,0.9986,0.9887,0.875,0.9284,0.9374
14,SMOTE,XGboost,0.9984,0.8962,0.95,0.9223,0.9744
15,SMOTE,Lightgbm,0.9982,0.89,0.93,0.9095,0.9644
16,BorderlineSMOTE,Decision Tree,0.9965,0.8186,0.835,0.8267,0.9166
17,BorderlineSMOTE,Random Forest,0.9985,0.9722,0.875,0.9211,0.9374
18,BorderlineSMOTE,XGboost,0.9987,0.9307,0.94,0.9353,0.9696
19,BorderlineSMOTE,Lightgbm,0.9982,0.9095,0.905,0.9073,0.952
20,SVMSMOTE,Decision Tree,0.9965,0.7928,0.88,0.8341,0.9388
21,SVMSMOTE,Random Forest,0.9986,0.9674,0.89,0.9271,0.9448
22,SVMSMOTE,XGboost,0.9984,0.9038,0.94,0.9216,0.9695
23,SVMSMOTE,Lightgbm,0.9986,0.9212,0.935,0.928,0.9671
