n_features,cluster distance,accuracy,precision,recall,F1 score,ROC AUC Score
2,1.0,0.825,0.133,0.345,0.145,0.597
2,1.5,0.88,0.154,0.391,0.171,0.641
2,2.0,0.908,0.236,0.492,0.267,0.705
2,2.5,0.94,0.344,0.606,0.376,0.777
2,3.0,0.956,0.425,0.74,0.486,0.85
2,4.0,0.984,0.656,0.894,0.718,0.94
2,5.0,0.995,0.811,0.952,0.854,0.974
4,1.0,0.846,0.125,0.297,0.136,0.584
4,1.5,0.898,0.176,0.346,0.183,0.63
4,2.0,0.92,0.233,0.461,0.255,0.696
4,2.5,0.942,0.339,0.574,0.371,0.762
4,3.0,0.963,0.452,0.699,0.495,0.833
4,4.0,0.986,0.669,0.898,0.737,0.943
4,5.0,0.996,0.844,0.922,0.873,0.959
6,1.0,0.852,0.135,0.303,0.142,0.589
6,1.5,0.902,0.167,0.343,0.178,0.631
6,2.0,0.928,0.246,0.447,0.267,0.693
6,2.5,0.949,0.348,0.55,0.371,0.754
6,3.0,0.966,0.466,0.665,0.493,0.818
6,4.0,0.988,0.67,0.835,0.71,0.913
6,5.0,0.995,0.865,0.889,0.863,0.943
8,1.0,0.854,0.132,0.272,0.131,0.577
8,1.5,0.902,0.169,0.323,0.172,0.622
8,2.0,0.928,0.271,0.417,0.268,0.679
8,2.5,0.95,0.372,0.548,0.377,0.754
8,3.0,0.967,0.48,0.661,0.504,0.817
8,4.0,0.985,0.695,0.79,0.707,0.89
8,5.0,0.995,0.842,0.91,0.863,0.953
