,n_features,n_samples,class_ratio,distributions,balancer,classifier,accuracy,precision,recall,F1 score,ROC AUC Score
0,15,100000,0.01,multivariate_normal 15 feat.,Unbalanced,Decision Tree,0.99545,0.7914438502673797,0.74,0.7648578811369509,0.8690151515151515
1,15,100000,0.01,multivariate_normal 15 feat.,Unbalanced,Random Forest,0.9979,1.0,0.79,0.8826815642458101,0.895
2,15,100000,0.01,multivariate_normal 15 feat.,Unbalanced,XGboost,0.99875,0.9888268156424581,0.885,0.9340369393139841,0.942449494949495
3,15,100000,0.01,multivariate_normal 15 feat.,Unbalanced,Lightgbm,0.9986,0.9831460674157303,0.875,0.9259259259259258,0.9374242424242425
4,15,100000,0.01,multivariate_normal 15 feat.,ADASYN,Decision Tree,0.9948,0.6983471074380165,0.845,0.7647058823529411,0.9206565656565656
5,15,100000,0.01,multivariate_normal 15 feat.,ADASYN,Random Forest,0.9981,0.9263157894736842,0.88,0.9025641025641025,0.9396464646464647
6,15,100000,0.01,multivariate_normal 15 feat.,ADASYN,XGboost,0.9977,0.8468468468468469,0.94,0.8909952606635071,0.9691414141414142
7,15,100000,0.01,multivariate_normal 15 feat.,ADASYN,Lightgbm,0.997,0.8017241379310345,0.93,0.8611111111111112,0.9638383838383839
8,15,100000,0.01,multivariate_normal 15 feat.,RandomOverSampler,Decision Tree,0.9969,0.8833333333333333,0.795,0.8368421052631579,0.8969696969696969
9,15,100000,0.01,multivariate_normal 15 feat.,RandomOverSampler,Random Forest,0.9984,1.0,0.84,0.9130434782608696,0.9199999999999999
10,15,100000,0.01,multivariate_normal 15 feat.,RandomOverSampler,XGboost,0.99895,0.9837837837837838,0.91,0.9454545454545455,0.9549242424242425
11,15,100000,0.01,multivariate_normal 15 feat.,RandomOverSampler,Lightgbm,0.9987,0.9484536082474226,0.92,0.9340101522842639,0.9597474747474748
12,15,100000,0.01,multivariate_normal 15 feat.,SMOTE,Decision Tree,0.9943,0.6641221374045801,0.87,0.7532467532467532,0.9327777777777778
13,15,100000,0.01,multivariate_normal 15 feat.,SMOTE,Random Forest,0.99865,0.9887005649717514,0.875,0.9283819628647215,0.937449494949495
14,15,100000,0.01,multivariate_normal 15 feat.,SMOTE,XGboost,0.9984,0.8962264150943396,0.95,0.9223300970873787,0.9744444444444444
15,15,100000,0.01,multivariate_normal 15 feat.,SMOTE,Lightgbm,0.99815,0.8899521531100478,0.93,0.9095354523227384,0.964419191919192
16,15,100000,0.01,multivariate_normal 15 feat.,BorderlineSMOTE,Decision Tree,0.9965,0.8186274509803921,0.835,0.8267326732673267,0.9165656565656565
17,15,100000,0.01,multivariate_normal 15 feat.,BorderlineSMOTE,Random Forest,0.9985,0.9722222222222222,0.875,0.9210526315789473,0.9373737373737374
18,15,100000,0.01,multivariate_normal 15 feat.,BorderlineSMOTE,XGboost,0.9987,0.9306930693069307,0.94,0.9353233830845772,0.9696464646464646
19,15,100000,0.01,multivariate_normal 15 feat.,BorderlineSMOTE,Lightgbm,0.99815,0.9095477386934674,0.905,0.9072681704260652,0.9520454545454546
20,15,100000,0.01,multivariate_normal 15 feat.,SVMSMOTE,Decision Tree,0.9965,0.7927927927927928,0.88,0.8341232227488151,0.9388383838383838
21,15,100000,0.01,multivariate_normal 15 feat.,SVMSMOTE,Random Forest,0.9986,0.967391304347826,0.89,0.9270833333333334,0.9448484848484849
22,15,100000,0.01,multivariate_normal 15 feat.,SVMSMOTE,XGboost,0.9984,0.9038461538461539,0.94,0.9215686274509804,0.9694949494949495
23,15,100000,0.01,multivariate_normal 15 feat.,SVMSMOTE,Lightgbm,0.99855,0.9211822660098522,0.935,0.9280397022332506,0.9670959595959596
